Item_Identifier,Item_Weight,Item_Visibility,Year,Outlet_Identifier,Item_Type,Item_MRP,MRP_Level,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Converted Sales
DRH37,17.6,0.041681059,17,OUT049,Soft Drinks,164.2526,High,2,Tier 1,Supermarket Type1,1315.6208,0.855
FDK26,5.46,0.037314911,31,OUT027,Canned,187.524,High,2,Tier 3,Supermarket Type3,4473.742797,2.908
FDK52,18.25,0.079342006,17,OUT049,Frozen Foods,226.0062,Very_High,2,Tier 1,Supermarket Type1,1805.6496,1.174
FDG14,9.0,0.050256161,31,OUT027,Canned,150.9024,High,2,Tier 3,Supermarket Type3,4857.6768,3.157
DRH15,8.775,0.120341193,29,OUT013,Dairy,45.9428,Low,1,Tier 3,Supermarket Type1,790.9704,0.514
FDM56,16.7,0.069851683,31,OUT027,Fruits and Vegetables,110.9912,Medium,2,Tier 3,Supermarket Type3,1310.2944,0.852
FDQ46,7.51,0.103793399,12,OUT035,Snack Foods,110.1544,Medium,3,Tier 2,Supermarket Type1,2684.5056,1.745
NCJ30,5.82,0.080968973,7,OUT018,Household,171.379,High,2,Tier 3,Supermarket Type2,2037.348,1.324
FDN01,8.895,0.072511335,17,OUT049,Breakfast,177.437,High,2,Tier 1,Supermarket Type1,3528.74,2.294
FDH33,12.85,0.121972274,14,OUT045,Snack Foods,43.1428,Low,2,Tier 2,Supermarket Type1,703.0848,0.457
FDW31,11.35,0.042949109,31,OUT027,Fruits and Vegetables,199.5742,High,2,Tier 3,Supermarket Type3,3981.484,2.588
NCS29,9.0,0.069938838,9,OUT017,Health and Hygiene,264.8884,Very_High,2,Tier 2,Supermarket Type1,2914.8724,1.895
FDS04,10.195,0.14689096,17,OUT049,Frozen Foods,141.2838,High,2,Tier 1,Supermarket Type1,2382.304135,1.548
FDZ26,11.6,0.144604071,7,OUT018,Dairy,240.8222,Very_High,2,Tier 3,Supermarket Type2,3585.333,2.33
FDD47,7.6,0.142410775,19,OUT046,Starchy Foods,171.9448,High,3,Tier 1,Supermarket Type1,3749.7856,2.437
FDD09,13.5,0.021392306,31,OUT027,Fruits and Vegetables,182.0976,High,2,Tier 3,Supermarket Type3,6157.3184,4.002
NCA54,16.5,0.036698564,17,OUT049,Household,178.9318,High,2,Tier 1,Supermarket Type1,2918.451882,1.897
NCR38,17.25,0.112968748,31,OUT027,Household,252.8724,Very_High,2,Tier 3,Supermarket Type3,5409.289676,3.516
FDV32,7.785,0.088846306,17,OUT049,Fruits and Vegetables,61.451,Low,2,Tier 1,Supermarket Type1,759.012,0.493
FDI05,8.35,0.127127013,14,OUT045,Frozen Foods,75.4354,Medium,2,Tier 2,Supermarket Type1,1195.68086,0.777
FDH19,19.35,0.033139916,17,OUT049,Meat,175.4738,High,2,Tier 1,Supermarket Type1,2890.244516,1.879
FDP39,12.65,0.069424963,19,OUT046,Meat,52.4324,Low,3,Tier 1,Supermarket Type1,871.8107785,0.567
FDX60,14.35,0.080594133,19,OUT046,Baking Goods,80.996,Medium,3,Tier 1,Supermarket Type1,1757.712,1.143
FDE33,19.35,0.049635605,19,OUT046,Fruits and Vegetables,76.5644,Medium,3,Tier 1,Supermarket Type1,1295.28385,0.842
FDK34,13.35,0.06448577,18,OUT010,Snack Foods,239.4564,Very_High,2,Tier 3,Grocery Store,1871.125595,1.216
FDD46,6.035,0.1412293,12,OUT035,Snack Foods,155.5998,High,3,Tier 2,Supermarket Type1,2608.576098,1.696
NCG30,20.2,0.112321218,19,OUT046,Household,123.6046,Medium,3,Tier 1,Supermarket Type1,2988.1104,1.942
FDJ36,14.5,0.128520186,14,OUT045,Baking Goods,101.4332,Medium,2,Tier 2,Supermarket Type1,1948.1308,1.266
FDJ44,12.3,0.106238768,29,OUT013,Fruits and Vegetables,176.1396,High,1,Tier 3,Supermarket Type1,3663.2316,2.381
FDN24,14.1,0.198316649,31,OUT019,Baking Goods,54.3956,Low,3,Tier 1,Grocery Store,272.978,0.177
FDD34,7.945,0.015863075,29,OUT013,Snack Foods,161.821,High,1,Tier 3,Supermarket Type1,2446.815,1.59
FDA40,16.0,0.099271209,19,OUT046,Frozen Foods,88.5856,Medium,3,Tier 1,Supermarket Type1,878.856,0.571
FDV31,9.8,0.107152044,7,OUT018,Fruits and Vegetables,177.237,High,2,Tier 3,Supermarket Type2,2530.43611,1.645
DRC49,8.67,0.065569288,14,OUT045,Soft Drinks,144.6128,High,2,Tier 2,Supermarket Type1,2238.438714,1.455
FDO10,13.65,0.014183265,17,OUT049,Snack Foods,57.7588,Low,2,Tier 1,Supermarket Type1,1105.784894,0.719
FDL28,10.0,0.063302674,14,OUT045,Frozen Foods,230.3668,Very_High,2,Tier 2,Supermarket Type1,3617.319453,2.351
NCW53,18.35,0.030556922,14,OUT045,Health and Hygiene,190.6162,High,2,Tier 2,Supermarket Type1,3271.0754,2.126
NCL31,7.39,0.120180894,29,OUT013,Others,141.447,High,1,Tier 3,Supermarket Type1,2290.352,1.489
FDT39,6.26,0.009883257,17,OUT049,Meat,149.8366,High,2,Tier 1,Supermarket Type1,1964.7758,1.277
FDB33,17.75,0.014568036,29,OUT013,Fruits and Vegetables,158.1262,High,1,Tier 3,Supermarket Type1,4137.2812,2.689
FDQ47,7.155,0.169137707,9,OUT017,Breads,35.2874,Low,2,Tier 2,Supermarket Type1,388.1614,0.252
NCQ30,7.725,0.029048089,29,OUT013,Household,120.2414,Medium,1,Tier 3,Supermarket Type1,1939.693244,1.261
FDU37,9.5,0.114414537,19,OUT046,Canned,79.596,Medium,3,Tier 1,Supermarket Type1,1038.648,0.675
FDD48,10.395,0.030133592,29,OUT013,Baking Goods,115.1176,Medium,1,Tier 3,Supermarket Type1,1884.757855,1.225
FDO27,6.175,0.179355893,17,OUT049,Meat,94.1752,Medium,2,Tier 1,Supermarket Type1,575.2512,0.374
DRC01,5.92,0.03213687,18,OUT010,Soft Drinks,49.1692,Low,2,Tier 3,Grocery Store,-1040.287367,-0.676
FDK48,7.445,0.041299086,29,OUT013,Baking Goods,77.2354,Medium,1,Tier 3,Supermarket Type1,1293.241461,0.841
DRJ51,14.1,0.087920675,29,OUT013,Dairy,228.5668,Very_High,1,Tier 3,Supermarket Type1,1151.834,0.749
FDP12,9.8,0.045358609,14,OUT045,Baking Goods,36.1874,Low,2,Tier 2,Supermarket Type1,423.4488,0.275
FDF53,20.75,0.083776121,14,OUT045,Frozen Foods,182.2318,High,2,Tier 2,Supermarket Type1,2865.573839,1.863
NCZ17,12.15,0.079555138,17,OUT049,Health and Hygiene,39.4506,Low,2,Tier 1,Supermarket Type1,740.6294424,0.481
FDO60,20.0,0.057527544,18,OUT010,Baking Goods,43.1086,Low,2,Tier 3,Grocery Store,89.2172,0.058
FDH12,9.6,0.085299728,7,OUT018,Baking Goods,105.228,Medium,2,Tier 3,Supermarket Type2,1413.799484,0.919
FDV39,11.3,0.007321067,9,OUT017,Meat,197.7426,High,2,Tier 2,Supermarket Type1,2570.6538,1.671
FDX58,13.15,0.043551753,31,OUT027,Snack Foods,184.495,High,2,Tier 3,Supermarket Type3,7873.085,5.118
NCS18,12.65,0.042296724,14,OUT045,Household,106.3938,Medium,2,Tier 2,Supermarket Type1,3751.783,2.439
FDK34,13.35,0.038519399,12,OUT035,Snack Foods,236.8564,Very_High,3,Tier 2,Supermarket Type1,5005.4844,3.254
DRH11,5.98,0.132292244,31,OUT019,Hard Drinks,54.4614,Low,3,Tier 1,Grocery Store,-1001.81215,-0.651
FDP46,15.35,0.082677212,14,OUT045,Snack Foods,89.383,Medium,2,Tier 2,Supermarket Type1,1376.619158,0.895
FDL28,10.0,0.0634319,7,OUT018,Frozen Foods,230.1668,Very_High,2,Tier 3,Supermarket Type2,3405.660786,2.214
FDY49,17.2,0.012030747,17,OUT049,Canned,166.6184,High,2,Tier 1,Supermarket Type1,1155.8288,0.751
DRE25,15.35,0.072928316,31,OUT027,Soft Drinks,94.412,Medium,2,Tier 3,Supermarket Type3,1304.968,0.848
FDS02,10.195,0.145839766,12,OUT035,Dairy,194.9794,High,3,Tier 2,Supermarket Type1,3264.925133,2.122
DRB48,16.75,0.041599644,18,OUT010,Soft Drinks,40.9822,Low,2,Tier 3,Grocery Store,157.1288,0.102
DRL59,16.75,0.021310584,7,OUT018,Hard Drinks,52.2298,Low,2,Tier 3,Supermarket Type2,600.6718203,0.39
FDX04,19.6,0.041740902,7,OUT018,Frozen Foods,49.2376,Low,2,Tier 3,Supermarket Type2,958.752,0.623
FDV10,7.645,0.067083367,9,OUT017,Snack Foods,44.0112,Low,2,Tier 2,Supermarket Type1,596.5568,0.388
